"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J11";"tab";1;"Motor B";;;
2;"J8";"tab";1;"Motor A";;;
3;"R4,R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";2;"10k";;;
4;"TH1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical";1;"10k";;;
5;"R9,R6,R10";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";3;"560";;;
6;"R5";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"100";;;
7;"J13,J12";"tab";2;"GND";;;
8;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"End Stops";;;
9;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"1x4";;;
10;"J5,J4";"tab";2;"12V";;;
11;"C9";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
12;"C8";"CP_Radial_D10.0mm_P5.00mm";1;"10uF";;;
13;"C7";"C_Disc_D6.0mm_W2.5mm_P5.00mm";1;"0.1uF";;;
14;"A4";"Pololu#2991";1;"pololu#2991";;;
15;"A3";"Arduino_Nano";1;"Arduino_Nano";;;
16;"D2";"LED_D3.0mm";1;"green";;;
17;"D3";"LED_D3.0mm";1;"red";;;
